movie_name,movie_code,thumb_url,link_url,user_rating
말모이,20184105,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167699_P40_175859.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167699,9.04
주먹왕 랄프 2: 인터넷 속으로,20189463,https://ssl.pstatic.net/imgmovie/mdi/mit110/1526/152632_P19_104759.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=152632,8.76
